epoch,R@1_I2T,R@5_I2T,R@10_I2T,R@1_T2I,R@5_T2I,R@10_T2I,pos_neg_gap,val_loss,temp,Best
45,0.018390804529190063,0.04597701132297516,0.07816091924905777,0.009195402264595032,0.039080459624528885,0.07586207240819931,1.011704683303833,1.5044126643531623,0.051346603578988174,No
46,0.006896551698446274,0.05287356302142143,0.08505747467279434,0.004597701132297516,0.02298850566148758,0.059770114719867706,0.9100339412689209,1.5480357816849633,0.051369851605043315,No
47,0.013793103396892548,0.0436781607568264,0.08275862038135529,0.006896551698446274,0.03448275849223137,0.06666667014360428,0.8365597724914551,1.5097475794540054,0.051406907783623244,No
48,0.009195402264595032,0.039080459624528885,0.06896551698446274,0.004597701132297516,0.04597701132297516,0.08045977354049683,1.0063955783843994,1.481609616334411,0.051414661231604965,No
49,0.009195402264595032,0.04827586188912392,0.06436781585216522,0.004597701132297516,0.03448275849223137,0.06896551698446274,0.925560474395752,1.463050531244826,0.05143691622595676,No
50,0.009195402264595032,0.04137931019067764,0.08045977354049683,0.006896551698446274,0.029885057359933853,0.062068965286016464,0.9893643856048584,1.5176142196545657,0.05145152459665861,No
51,0.006896551698446274,0.050574712455272675,0.08045977354049683,0.004597701132297516,0.025287356227636337,0.0712643712759018,1.0555458068847656,1.5577986925497822,0.05145580671410105,No
52,0.006896551698446274,0.059770114719867706,0.10114942491054535,0.016091953963041306,0.05287356302142143,0.08965517580509186,1.1514348983764648,1.4977093847318628,0.05146875334387667,No
53,0.016091953963041306,0.05287356302142143,0.08045977354049683,0.002298850566148758,0.04597701132297516,0.07816091924905777,1.006178617477417,1.4927720893388507,0.05149854066120414,No
54,0.027586206793785095,0.05747126415371895,0.1034482792019844,0.009195402264595032,0.025287356227636337,0.05747126415371895,1.045043706893921,1.4909127007955791,0.051513892660787354,Yes
55,0.009195402264595032,0.0436781607568264,0.08275862038135529,0.002298850566148758,0.025287356227636337,0.06436781585216522,1.0160465240478516,1.4990507561584998,0.05152284800215412,No
56,0.004597701132297516,0.0436781607568264,0.08505747467279434,0.016091953963041306,0.03678160905838013,0.0712643712759018,1.2287847995758057,1.583647650959848,0.05152296952056205,No
57,0.013793103396892548,0.050574712455272675,0.08275862038135529,0.01149425283074379,0.0436781607568264,0.08965517580509186,1.1318333148956299,1.5078843716917367,0.05154180167247783,No
58,0.016091953963041306,0.059770114719867706,0.08045977354049683,0.009195402264595032,0.03218390792608261,0.06896551698446274,1.0348834991455078,1.553702889091667,0.051569654709505114,No
59,0.016091953963041306,0.04597701132297516,0.09425287693738937,0.013793103396892548,0.0436781607568264,0.08505747467279434,1.05509352684021,1.537545021923109,0.05157556987488875,No
60,0.016091953963041306,0.0436781607568264,0.08965517580509186,0.01149425283074379,0.04597701132297516,0.08505747467279434,1.0806002616882324,1.4845144515750053,0.05158511512510587,No
61,0.013793103396892548,0.059770114719867706,0.1034482792019844,0.009195402264595032,0.039080459624528885,0.07356321811676025,1.0217936038970947,1.517994124587925,0.0515999347678437,No
62,0.01149425283074379,0.059770114719867706,0.09885057806968689,0.006896551698446274,0.04827586188912392,0.08275862038135529,1.1335136890411377,1.584692847591707,0.051594130789735966,No
63,0.018390804529190063,0.06436781585216522,0.09885057806968689,0.013793103396892548,0.050574712455272675,0.08505747467279434,1.1147799491882324,1.5538165607671628,0.05160592799632027,No
64,0.013793103396892548,0.05517241358757019,0.0873563215136528,0.009195402264595032,0.039080459624528885,0.07586207240819931,1.0988366603851318,1.5394594085627589,0.051625532526651564,No
65,0.02068965509533882,0.062068965286016464,0.1149425283074379,0.013793103396892548,0.04597701132297516,0.09885057806968689,1.141897201538086,1.5410657863507327,0.05163888513793354,No
66,0.016091953963041306,0.05747126415371895,0.10804598033428192,0.009195402264595032,0.04597701132297516,0.08965517580509186,1.1546638011932373,1.5309067363026498,0.0516350861103462,No
67,0.018390804529190063,0.062068965286016464,0.10804598033428192,0.013793103396892548,0.05287356302142143,0.09425287693738937,1.0972323417663574,1.5270923769337008,0.05165554744803144,No
