epoch,train_loss,val_loss,time,best
1,4.914999,6.620238,3.12,True
2,4.274193,4.599350,6.88,True
3,4.020115,4.210411,10.67,True
4,4.155453,4.020094,14.47,True
5,4.019621,4.367300,18.24,False
6,4.017899,4.276637,22.00,False
7,4.046753,4.323550,25.75,False
8,4.037974,4.543808,29.52,False
9,3.935538,4.464969,33.27,False
10,3.949370,4.293007,37.02,False
11,3.923919,4.318164,40.76,False
12,3.809093,4.260890,44.50,False
13,3.871199,4.299039,48.25,False
14,3.858024,4.055734,52.01,False
15,3.749086,4.165239,55.78,False
16,3.853932,4.261535,59.53,False
17,3.774290,4.314920,63.29,False
18,3.821383,4.550431,67.02,False
19,3.766593,4.428147,70.78,False
20,3.743892,4.206735,74.55,False
21,3.723663,4.096197,78.31,False
22,3.709766,4.517951,82.08,False
23,3.699690,4.222798,85.84,False
24,3.713023,4.165704,89.61,False
25,3.699714,4.404443,93.38,False
26,3.714074,4.150355,97.13,False
27,3.743281,4.264051,100.87,False
28,3.711967,4.378181,104.63,False
29,3.653211,4.251976,108.37,False
30,3.641360,4.181661,112.13,False
31,3.671836,4.056050,115.88,False
32,3.612099,4.366725,119.64,False
33,3.605588,4.050415,123.40,False
34,3.568422,3.870726,127.15,True
35,3.503798,4.044264,130.92,False
36,3.514487,3.847158,134.69,True
37,3.453862,3.939621,138.48,False
38,3.449490,3.887709,142.25,False
39,3.529096,3.883107,146.00,False
40,3.463164,4.022236,149.77,False
41,3.428833,3.860167,153.54,False
42,3.337930,3.811404,157.30,True
43,3.340482,3.864987,161.05,False
44,3.299531,4.027501,164.80,False
45,3.247062,3.864029,168.54,False
46,3.223353,3.685502,172.29,True
47,3.221232,4.002063,176.06,False
48,3.161325,4.733946,179.82,False
49,3.116550,3.821637,183.58,False
50,3.154665,3.679782,187.34,True
51,3.163755,3.983722,191.10,False
52,3.090917,3.625718,194.85,True
53,3.087274,3.526194,198.64,True
54,3.171394,3.601381,202.42,False
55,3.095897,5.027654,206.20,False
56,3.052307,3.854937,209.97,False
57,3.081868,3.573350,213.74,False
58,3.031196,3.899991,217.51,False
59,2.994659,3.619776,221.28,False
60,3.052927,3.598509,225.03,False
61,3.027817,3.686016,228.78,False
62,2.973372,4.372030,232.54,False
63,2.956800,3.600851,236.28,False
64,2.955701,3.687757,240.03,False
65,2.912714,4.145586,243.78,False
66,2.869864,3.614272,247.54,False
67,2.837082,3.756828,251.29,False
68,2.855721,3.617551,255.05,False
69,2.776674,3.682425,258.81,False
70,2.777180,3.759428,262.57,False
71,2.718621,3.866890,266.33,False
72,2.686308,3.691708,270.09,False
73,2.722116,3.639655,273.95,False
74,2.656367,3.640333,277.73,False
75,2.624485,3.832088,281.51,False
76,2.653872,3.513023,285.31,True
77,2.626606,3.730877,289.08,False
78,2.557328,3.711141,292.84,False
79,2.560820,3.669187,296.59,False
80,2.577899,3.585090,300.36,False
81,2.559605,3.885315,304.12,False
82,2.483110,3.604895,307.88,False
83,2.466983,3.558287,311.65,False
84,2.510273,3.592533,315.41,False
85,2.448275,3.793171,319.16,False
86,2.470145,4.133227,322.92,False
87,2.418745,3.936191,326.68,False
88,2.417277,3.594212,330.46,False
89,2.407412,4.009375,334.23,False
90,2.373470,3.431191,338.00,True
91,2.316983,4.003811,341.80,False
92,2.328225,3.601030,345.58,False
93,2.326312,3.628040,349.36,False
94,2.297325,3.799126,353.11,False
95,2.290039,3.838392,356.86,False
96,2.285795,3.645758,360.62,False
97,2.314130,3.933632,364.39,False
98,2.248000,3.904758,368.15,False
99,2.252093,3.961862,371.92,False
100,2.205781,4.160654,375.68,False
101,2.190937,3.498259,379.45,False
102,2.222676,3.639464,383.21,False
103,2.129170,3.493046,386.96,False
104,2.175643,3.527159,390.72,False
105,2.114232,3.622980,394.49,False
106,2.156090,3.866695,398.26,False
107,2.080230,3.653979,402.04,False
108,2.132030,3.469126,405.81,False
109,2.042690,3.504884,409.60,False
110,2.122383,3.803727,413.37,False
111,2.070283,3.647942,417.12,False
112,2.059922,3.351681,420.89,True
113,2.011929,3.648280,424.66,False
114,2.027574,3.625711,428.42,False
115,1.999802,3.909937,432.18,False
116,2.004135,3.509134,435.93,False
117,1.995716,3.891850,439.70,False
118,1.943018,3.646114,443.47,False
119,1.956592,3.572468,447.23,False
120,1.946704,3.369812,450.98,False
121,1.945927,3.409218,454.76,False
122,1.890067,3.463075,458.53,False
123,1.923935,3.361360,462.31,False
124,1.876168,3.314710,466.09,True
125,1.944875,3.328806,469.88,False
126,1.859647,3.584816,473.66,False
127,1.888699,3.347212,477.43,False
128,1.807505,3.470540,481.19,False
129,1.902688,3.602400,484.96,False
130,1.825390,3.175576,488.73,True
131,1.844760,3.429595,492.50,False
132,1.777162,3.207953,496.27,False
133,1.870029,3.357923,500.02,False
134,1.792915,3.341840,503.79,False
135,1.847862,3.434377,507.55,False
136,1.798299,3.276766,511.32,False
137,1.856785,3.398098,515.08,False
138,1.779420,3.257283,518.87,False
139,1.797746,3.644477,522.67,False
140,1.729693,3.565889,526.44,False
141,1.790437,3.488557,530.22,False
142,1.739248,3.285553,533.99,False
143,1.754976,3.711780,538.05,False
144,1.717551,3.522744,541.84,False
145,1.803730,3.538382,545.65,False
146,1.717730,3.361021,549.43,False
147,1.796914,3.632768,553.19,False
148,1.668726,3.253133,556.96,False
149,1.812736,3.510083,560.72,False
150,1.693923,3.283153,564.49,False
151,1.793141,3.431604,568.26,False
152,1.663962,3.417024,572.03,False
153,1.866333,3.357779,575.81,False
154,1.649739,3.362194,579.59,False
155,1.803708,3.387201,583.38,False
